,uuid,substance,number,INCI
6431,4d9e6c10-f0a4-49e3-b5e3-401a6112256e,"1,8-diazabicyclo[5.4.0]undec-7-ene",229-713-7,
6433,e6383105-26a3-43e3-8a8e-cffa08968a60,"Pentaerythritol tetrakis(3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate)",229-722-6,
6434,fefee303-5b35-4d73-ac3a-74d14796e610,"Carbonic acid, compound with phenylguanidine (1:1)",229-729-4,
6435,177f1d04-4b9e-4c22-a729-6667c2647d40,"1,10-decanediyl bismethacrylate",229-745-1,
6436,2174cc65-9a7e-43b3-818c-c21df50ecf1c,12-oxahexadecan-16-olide,229-755-6,
6437,37c8cd5f-8697-4da5-93c9-0b76305db0d3,"N'-[3-(dimethylamino)propyl]-N,N-dimethylpropane-1,3-diamine",229-761-9,Propane
6439,068eba0d-8084-4320-8140-5d88dc7b92c8,"1-(N,N-bis(2-hydroxyethyl)amino)propan-2-ol",229-764-5,
6441,22b1ee74-960c-4c64-b73c-4e036d917425,1-[(2-hydroxyethyl)thio]propan-2-ol,229-765-0,
6442,0fce72b6-3da3-4c5a-b213-97a29ab0ae03,trans-hex-2-enal,229-778-1,
6444,75c95c0c-a60c-423e-8744-058f53f7526e,"Di-tert-butyl 3,3,5-trimethylcyclohexylidene diperoxide",229-782-3,
6445,65bd7cc6-107e-48e2-81b9-7675e4df5c65,"1,4-bis[(2-methylphenyl)amino]anthraquinone",229-792-8,
6446,046fb50c-2df2-46c4-b384-26756f88385e,2-chlorophenyl cyclopentyl ketone,229-802-0,
6448,e7147c36-27b3-474e-915c-90c1a8eec26c,1-bromocyclopentyl-o-chlorophenyl ketone,229-803-6,
6449,27379298-008b-449a-b2fb-00a7e66c9bee,Ketamine,229-804-1,
6450,86f709a6-4f40-4104-990c-12d0ffa70a66,N-(4-nitrobenzoyl)-L-glutamic acid hemihydrate,229-820-9,Glutamic Acid
6451,e1a19e84-1489-4059-9e4c-3803f7b90bd2,"1,4-bis(methoxymethyl)benzene",229-828-2,
6452,9505f849-76c7-4c45-bd9a-7053a3d08f2a,"β,4-dimethylcyclohex-3-ene-1-propan-1-al",229-846-0,
6453,70d34445-4d12-4f2e-9a4b-5f63563f39f7,"α,α-bis[4-(dimethylamino)phenyl]-4-(phenylamino)naphthalene-1-methanol",229-851-8,
6454,2b0fd6cf-4556-4a88-b3a5-dd370b6fdd35,Hexyl benzoate,229-856-5,
6455,eeb476ec-b98e-4834-8ef4-ae9c395af849,"4,5,6,7-tetrahydro-1H-benzotriazole",229-858-6,
6456,29019284-7fd6-4e12-99de-98909e85a905,"[3aR-(3aα,5aβ,9aα,9bβ)]-dodecahydro-3a,6,6,9a-tetramethylnaphtho[2,1-b]furan",229-861-2,
6457,a929ffd0-de87-41ae-b428-bfac0fc44778,"Disodium [μ-[[7,7'-iminobis[4-hydroxy-3-[[2-hydroxy-5-sulphamoylphenyl]azo]naphthalene-2-sulphonato]](6-)]]dicuprate(2-)",229-872-2,
6458,a5188fb3-0429-4d8f-82d6-1e8362241939,Escin,229-880-6,
6459,78963dc2-9582-45b0-bca8-b6fdc3e2b5a5,Sodium propanolate,229-895-8,
6460,e0a84448-0a19-46cd-a057-109cba2b6fb2,"14H-benz[4,5]isoquino[2,1-a]perimidin-14-one",229-904-5,
6461,75c3af83-b821-4e58-b3e7-9b02e3502198,Potassium propan-2-olate,229-909-2,
6462,6f4b8da8-83a3-4900-91ae-56204a0dc2b1,Disodium metasilicate,229-912-9,Sodium Metasilicate
6463,6375dbc3-11df-4ab9-9958-0d874159a988,"7-methoxy-1,2,3,4-tetrahydronaphthalen-1-one",229-916-0,
6464,21504469-609b-407b-9bce-e534edb1bc13,N-cyclohexyl-2-pyrrolidone,229-919-7,
6465,5d181b3b-a87d-44d4-ac5e-8284e76f5baa,Dimethoxydiphenylsilane,229-929-1,
6466,f46dbfa2-799b-4cec-b44f-fb9ba3818d37,"1-isopropyl-2,2-dimethyltrimethylene diisobutyrate",229-934-9,
6467,43d71b72-364a-4149-a245-fca363dfce63,"2,6-dimethylcyclohexylamine",229-942-2,
6468,550ae29c-2895-4a0c-8287-a785e1e7652e,Piperidin-3-ol,229-957-4,
6469,39849b82-a9d5-444b-9ee3-7b09751e0902,"4-hydroxy-5-[[(p-tolyl)sulphonyl]amino]naphthalene-2,7-disulphonic acid",229-959-5,
6470,f0c28182-c04f-4835-abd6-7defc13fbab6,"2,2'-dimethyl-4,4'-methylenebis(cyclohexylamine)",229-962-1,
6471,c1cfe753-fd7e-4024-954a-0b2f2b276684,"Lithium acetylide, ethylenediamine complex",229-967-9,
6472,2af35f28-b36d-46ab-8165-952a42cedc79,2-methylindoline,229-971-0,
6473,de9777cc-fb9d-4e85-b624-b4424409e5db,"(1α,2β,5α)-2,6,6-trimethylbicyclo[3.1.1]heptane",229-978-9,
6474,41227241-38a0-4a22-b103-33a2c1346dda,[2-(methacryloyloxy)ethyl]trimethylammonium methyl sulphate,229-995-1,
6475,4f6055d3-c67b-4ee3-9bf4-afebf336536c,Potassium methacrylate,230-007-6,
6476,8bf02f3a-d491-4b0f-b1ff-c479fd0cba95,Malic acid,230-022-8,Malic Acid
6477,6011bfdf-19a9-48b6-a683-80431c7a6248,"DL-hexane-1,2-diol",230-029-6,
6478,403c97b7-0237-4bdd-a130-6358e540e155,Benzylmagnesium chloride,230-039-0,
6479,60d7c84e-e4a9-46a4-9dff-e94cfc97d8ad,12H-phthaloperin-12-one,230-049-5,
6480,8d28d51d-a09d-4b70-8577-10f4c27d1a10,4-methylpiperazin-1-amine,230-053-7,
6481,0d86501f-943f-4b58-9fbd-b8b894357057,Diisopropyl adipate,230-072-0,Diisopropyl Adipate
6483,3a102cda-510d-47a8-b2e0-a643c8c724f6,"1-chloro-2,5-dimethoxy-4-nitrobenzene",230-086-7,
6484,93b21433-932d-44a5-9cc8-c3b3c4b56b55,1-bromo-4-chlorobutane,230-089-3,Butane
6485,2081e622-2ba4-439d-8d63-97871883718c,"1-[(3,4-dimethoxyphenyl)methyl]-3,4-dihydro-6,7-dimethoxyisoquinoline",230-148-3,
6486,1ad786ed-da92-4b53-b874-6f4111bd07cb,3-butoxypropiononitrile,230-153-0,
6487,09a53a1a-1dd1-434f-8c8d-09ad87083fad,N-(2-methoxy-5-methylphenyl)acetamide,230-157-2,
6488,c50f6862-44b8-4b55-8679-f924bb8a40a8,4-chlorobutyl acetate,230-158-8,Butyl Acetate
6489,83e2e483-0b86-4a93-9453-982fd282c99e,"1,2,4-triazolo[4,3-a]pyridin-3(2H)-one",230-191-8,
6490,2e291621-b028-411a-8554-38fc815d84d0,"6-chloro-1,3-dimethyluracil",230-205-2,
6491,268149de-7638-4c35-a56e-983276641c99,2-acetamido-5-aminobenzenesulphonic acid,230-214-1,
6492,04de1b3f-8475-49f7-b83a-0b42d5c25efe,1-bromo-3-chloro-2-methylpropane,230-224-6,Propane
6493,53170868-b572-468f-951a-4d0fbbd3df0f,"2-[bis(2-hydroxyethyl)amino]-2-(hydroxymethyl)propane-1,3-diol",230-237-7,Propane
6494,98a02227-d0f2-4fa7-a6cd-ef3f809f95d7,2-methoxyethyl methacrylate,230-241-9,Ethyl Methacrylate
6495,8d81ab29-e770-48b5-b9d7-71269bbc0869,Fusidic acid,230-256-0,
6497,f6ba4351-f4ef-42e4-bfe1-4f960f0a69ee,"Zinc O,O,O',O'-tetrabutyl bis(phosphorodithioate)",230-257-6,
6498,6a7081c6-e785-411e-95b0-6edde6077a60,"4-[(2,5-dichlorophenyl)azo]-N-(2,3-dihydro-2-oxo-1H-benzimidazol-5-yl)-3-hydroxynaphthalene-2-carboxamide",230-258-1,
6499,c9ba301b-b10f-4570-b526-1383cd975542,Ethyl 3-amino-1H-pyrazole-4-carboxylate,230-262-3,
6500,d1d84aa4-6cc3-4447-aa41-e9628a50a1a8,2-(dimethylamino)-2-methylpropan-1-ol,230-279-6,
6501,96bca66b-58d0-4043-95ca-cc3494399886,5-hexyldihydro-5-methylfuran-2(3H)-one,230-291-1,
6502,7470202e-c280-4596-a470-538e50f4308e,Calcium 4-[(5-chloro-4-methyl-2-sulphonatophenyl)azo]-3-hydroxy-2-naphthoate,230-303-5,
6503,98b8e6c9-4b3b-4216-a0fa-556b958b8509,Bromomethylcyclopropane,230-331-8,Propane
6504,e1f6cc4d-20ac-4ce5-8c98-bfa091178849,"3,3-dimethylbutyryl chloride",230-356-4,
6505,c5ae654b-e1b5-4c44-8828-f01197c60bc7,Retinyl propionate,230-363-2,
6506,e38a6fc8-536f-4c63-af62-0d57d50f5a29,Mecoprop,230-386-8,
6507,c5cbfda0-03bc-4e1a-a0d7-4c08b91d5ba7,Ethyl 2-cyanoacrylate,230-391-5,
6508,d29c0596-36eb-4645-8cc5-f92bb5fddd1c,Ethyldiisopropylamine,230-392-0,Diisopropylamine
6510,06321da9-ee10-405d-8bc7-c539e2d9281e,1-ethyl-1H-imidazole,230-403-9,
6511,c601e6b0-ed49-41da-8dbc-0bbfe564b20b,"(2,2-dimethyl-1,3-dioxolan-4-yl)methyl methacrylate",230-408-6,Methyl Methacrylate
6512,433ea4c7-4686-42b2-8e87-e74457f2faf7,"2,5-thiophenediylbis(5-tert-butyl-1,3-benzoxazole)",230-426-4,
6513,19631548-6db5-41fc-9f53-c709efa0f267,"2,6-dichloro-4,8-dipiperidinopyrimido[5,4-d]pyrimidine",230-437-4,
6515,a0b8dc3a-f3a3-4a28-ab63-488d00c30117,Methanesulphonic anhydride,230-442-1,
6516,816ea4d9-0322-454a-af76-53d97c02e22a,4-piperidylmethylamine,230-446-3,
6517,32a077a6-2823-40d2-b4ba-cf93a2b901c3,N-(cyclopent-1-ene-1-yl)pyrrolidine,230-463-6,
6518,d2cf3e81-9189-47ee-bac0-26ea8828611f,"5-methyl-5-propyl-1,3-dioxan-2-one",230-465-7,
6519,0f75b9fd-a8fc-41c7-b20b-6d8169b670f0,2-bromopropionyl chloride,230-466-2,
6520,b4619ad9-6ed5-4c0c-a7ca-504bb82752be,"(3,3-diethoxy-1-propenyl)benzene",230-467-8,
6521,95720949-1470-4c5d-a356-791304035887,4-aminomethyl-2-methoxyphenol hydrochloride,230-468-3,
6522,487073a0-ba2b-4cae-84fe-f37be4156e23,Ethyl 5-oxo-L-prolinate,230-480-9,
6523,6b0933c9-43ea-4401-89ef-5ecb8bb8d901,"3a,4,4a,5,8,8a,9,9a-octahydro-4,9:5,8-dimethano-1H-benz[f]indene",230-512-1,
6524,59bb9177-30ec-4bf0-80de-dc7e1439ff85,Didecyldimethylammonium chloride,230-525-2,
6525,359fa297-4770-44d5-b1c3-17769d3114eb,"(Z)-N-9-octadecenylpropane-1,3-diamine",230-528-9,Propane
6526,887f75dd-6e74-433d-af2c-192ece7a5899,"2-(2-chlorophenyl)-1-[2-(2-chlorophenyl)-4,5-diphenyl-2H-imidazol-2-yl]-4,5-diphenyl-1H-imidazole",230-555-6,
6527,d927d187-4cc7-4777-9377-8660e929b009,"Bis(2,3-epoxypropyl) terephthalate",230-565-0,
6528,a215ee31-3e8e-4925-95f6-8bd507485730,"Bis(2,3-epoxypropyl) phthalate",230-566-6,
6529,1b4b44a1-0d63-4040-9f4c-4a17d26d025d,"N,N'-bis(3-aminopropyl)piperazine",230-589-1,
6530,99eea5f4-2dbd-4aee-87b4-61980f82f31b,"3,7,11-trimethyldodeca-1,6,10-trien-3-ol,mixed isomers",230-597-5,
6531,1eadaae5-7fac-4fec-ba0a-1876a7e099a3,cis-2-tert-butylcyclohexan-1-ol,230-601-5,
6533,dcf7e704-3f11-451a-ba18-191aed8511de,"(E,Z)-2,6-dimethylocta-2,4,6-triene",230-603-6,
6534,1f96a62d-f3f7-4632-9ea7-ddd3b60c8494,"Tetrahydro-1,3-dimethyl-1H-pyrimidin-2-one",230-625-6,
6535,dba7dfe6-dc48-451a-a16e-e657e8823b72,"β,β-carotene",230-636-6,
6536,ead612ff-73d0-4b4d-aca7-3a28be3b4279,"Tris(oxiranylmethyl) benzene-1,2,4-tricarboxylate",230-638-7,
6537,6a62fdbf-4fc1-4e2b-b517-d54fa810747c,N-(2-chloroethyl)pyrrolidine hydrochloride,230-660-7,
6539,e9d9c152-c8fc-47b7-8950-c36ad9bf147e,α-phenylpyridine-2-acetamide,230-663-3,
6540,950f4332-2bda-4e05-a695-8156f22ebc64,N-(2-aminoethyl)-N'-octadecylethylenediamine,230-683-2,
6541,5934e109-de21-430c-8fbe-c2b39de22249,Prometryn,230-711-3,
6542,b4ce1a85-587a-483f-9795-2ee485f0b15e,Ethylenediamine p-toluenesulphonate,230-728-6,Toluene
6543,6092223f-a1e3-409b-93ff-203c530e9f59,N-(3-acetyl-4-hydroxyphenyl)acetamide,230-735-4,
6544,6ea285e1-f4ca-4d81-a78e-667dec79907f,"2,2-bis[[(2-ethyl-1-oxohexyl)oxy]methyl]propane-1,3-diyl bis(2-ethylhexanoate)",230-743-8,Propane
6545,94461932-c7b3-4b2d-9c9d-593eb0bd4ed9,"3,3'-[butane-1,4-diylbis(oxy)]bispropanamine",230-745-9,Butane
6546,d6336b12-77d3-4972-b7ce-061d360e97d8,Ethyl 3-aminocrotonate,230-782-0,
6547,3ba27ad2-a42b-4fcf-b6b7-09d9eb918d6c,Tetrapotassium pyrophosphate,230-785-7,Tetrapotassium Pyrophosphate
6548,63bc2a99-e63c-4fac-a083-fbb3e54db671,Tetradecyloxirane,230-786-2,
6549,d1a6b9e5-172b-49c5-87cc-1f6e787c29a4,Iron tris(2-ethylhexanoate),230-794-6,
6550,f29b01e6-0805-442c-aa0b-a16b0acf8e8e,Allyl 2-cyanoacrylate,230-796-7,
6551,8342e257-cf65-46b6-8dbd-b26c46e22f5e,(R)-3-phenyllactic acid,230-803-3,Lactic Acid
6552,a7debb0e-b78f-4c43-a3fe-d3ea03aafdde,Nitrilotriacetonitrile,230-804-9,
6553,bc29bfbb-47e4-4ae1-8ab7-959488cfba37,2-(2-ethoxyethoxy)ethyl acrylate,230-811-7,
6554,c80c85e9-7296-416e-b641-17af0122eeb7,2-(2-butoxyethoxy)ethyl methacrylate,230-813-8,Ethyl Methacrylate
6555,ea1a1197-6bf8-45dc-85ee-2f8c5b07f5c6,"2,2-dimethylpropane-1,3-diamine",230-819-0,Propane
6556,12d5940b-ac55-47c2-a73e-ba40f770f1d4,"Disodium 4,4'-diaminostilbene-2,2'-disulphonate",230-847-3,
6561,d263058d-4297-4ad8-8452-5d7bdd4af2bf,Sodium taurinate,230-875-6,
6562,60824b05-d9df-471f-8881-e8245c5c2665,"Propane-1,2,3-triyl 2-ethylhexanoate",230-896-0,Propane
6563,f863cc47-f18c-4c0d-a522-cf1df1b0131d,Aluminium triformate,230-898-1,
6564,0a9a74ab-e306-4168-842f-810982c30851,4-(2-hydroxyethyl)piperazin-1-ylethanesulphonic acid,230-907-9,
6565,43b960db-358a-4548-bcff-47e4b25067f7,N-(carbamoylmethyl)taurine,230-908-4,
6566,377719ab-226f-410e-b2d9-6bfde9e0ae47,N-hydroxyoctanamide,230-936-7,
6567,9f5db1cf-cfe1-4f69-9f4f-f767704e2d94,Dimethyl(octyl)amine,230-939-3,
6569,105b8815-cdde-49f1-9fa9-fc31d08168ec,4-chloropyridine hydrochloride,230-946-1,
6570,53dd0fa3-7b25-4e48-9336-2617dcd3ffb7,"4-(methylthio)-3,5-xylenol",230-947-7,
6571,8d813573-b016-4782-932d-fc3401b6edc6,Sodium 2-sulphonatoethyl laurate,230-949-8,
6572,be261fe2-79fe-4b2e-9b4b-ffaeee32095e,Lithium oleate,230-960-8,
6573,e1a75610-5b8f-44b5-9534-b93502fda81b,2-methyl-3-phenylpropanol,230-961-3,
6574,cc3bdb02-ca4a-487a-ad37-d832fdd7c17b,"2,6,6-trimethoxy-2-vinyltetrahydropyran",230-983-3,
6575,9fe30891-df86-42da-93bc-be917569fbf6,"p-nitrobenzoic acid, compound with 2,2',2''-nitrilotriethanol (1:1)",230-989-6,Benzoic Acid
6576,0c9000b1-d41f-42bd-a6a7-16784cc4fc99,N-methyldidecylamine,230-990-1,
6578,86ededf0-9aa9-4bf3-8b80-ccc69f324613,Butyl glycollate,230-991-7,
6579,0367c539-5acd-4aa9-871b-6b90747ba74a,Diallyldimethylammonium chloride,230-993-8,
6580,861d982b-8e73-4deb-960a-d635b76a085b,4-hydroxycinnamic acid,231-000-0,
6581,6bc5d56a-3591-4b6b-8267-43e77b809c10,tert-butylhydrazine monohydrochloride,231-001-6,
6582,809abf65-6e91-44f3-aaad-ab6de866a82f,4-methyl-4-phenylpentan-2-one,231-007-9,
6583,325dcb45-c3f0-4a8c-aec1-5e1f83073eed,"3,4-dimethoxyphenethyl alcohol",231-032-5,Phenethyl Alcohol
6584,60b44e50-721e-48e3-8502-0e09681c1a73,"N,N'-(methylenedi-p-phenylene)bis(aziridine-1-carboxamide)",231-034-6,
6585,1011c02f-bb5e-4deb-b66a-7e993d6fc66d,"Disodium 1,5-dihydroxypentane-1,5-disulphonate",231-043-5,
6586,cf5b1c8a-16d4-4f8b-aac0-6eb6e01e5c50,"1,1,1,3,5,5,5-heptamethyl-3-[3-(oxiranylmethoxy)propyl]trisiloxane",231-045-6,
6587,3c2e2d15-74a5-46a7-a498-b399cffcee87,2-ethylhexyl hydrogen maleate,231-048-2,
6588,5e1c8885-1b8d-43e7-9314-def20cc58169,Titanium tetraisobutanolate,231-061-3,
6589,97abfead-c77b-4da3-9330-c1a6311da2ed,Aluminium,231-072-3,
6591,e2332132-0bcd-407e-8d7c-0fe37bfacd22,Dysprosium,231-073-9,
6592,8568e7e1-8699-4e61-b8e1-3353d80e6da9,"7-chloro-5-(2-fluorophenyl)-1,3-dihydro-2H-benzo-1,4-diazepin-2-one 4-oxide",231-084-9,
6593,9b5e03cc-53b8-4c98-92e3-a0ac7c4dd7ca,Iridium,231-095-9,
6594,82da1de8-5033-46ec-b1cc-a89c179ba89f,Iron,231-096-4,
6595,7f101fee-b969-4dda-b8d0-a89d87a46146,Lanthanum,231-099-0,
6596,a43b8a6f-bf92-4be0-a289-7b3eeb14602f,Lead,231-100-4,
6598,643172a4-4d45-4dc3-93eb-b252ffc4981c,Lithium,231-102-5,
6600,83d3a589-5315-4bf3-9d55-a77f76e2a65a,Magnesium,231-104-6,
6603,10fa8f3c-61c9-4780-9dea-0a037a105f6f,Manganese,231-105-1,
6605,4658b507-f157-423a-9de4-a01b2c9e34a2,Mercury,231-106-7,
6607,2c5fecb6-feeb-4926-b5d7-e46dd5d08dc4,Molybdenum,231-107-2,
6608,2e65cda8-f05d-4cd6-9d35-ccf3ba32dd92,Neodymium,231-109-3,
6609,d4688044-444c-4c94-8d3c-afbd9fe5fbc5,Nickel,231-111-4,
6610,50577f35-f794-44c3-8ade-a5c83ed57321,Niobium,231-113-5,
6611,249c7f66-4816-4e76-b5f8-9dc37e8d45d2,Palladium,231-115-6,
6612,18998097-024b-45ae-9d05-85b8061f6081,Platinum,231-116-1,
6613,04067ce4-2590-4963-95b8-8d8d7f5549cc,Potassium,231-119-8,
6615,fa5a7315-f01b-4aa3-b973-be0f2e4990ff,Praseodymium,231-120-3,
6616,dff07e26-7177-43d3-a02f-2aa1638f431d,Rhenium,231-124-5,
6617,e2c76d40-88a9-4060-987d-41a14f73a518,Rhodium,231-125-0,
6618,6a925c8f-8d41-4521-874e-9b17d1deab85,Ruthenium,231-127-1,
6619,cbffcd4a-480a-46f1-a257-574e61a076ed,Samarium,231-128-7,
6620,87b4feff-410d-4b77-9579-a1deb545020f,Silicon,231-130-8,
6622,a842c2ff-dd8f-473d-bb15-a27046511baa,Silver,231-131-3,
6623,4fe6e2af-1190-400b-bf96-b0a83d30c83b,Sodium,231-132-9,
6626,13acdbe7-4dca-4d05-8994-767235c59464,Strontium,231-133-4,
6627,e1f68ff9-c0df-48dc-9b6f-d70a283684bb,Tantalum,231-135-5,
6628,1bfc59eb-8a1b-4c1c-a160-9a47d21b3f74,Terbium,231-137-6,
6629,cc18f7bf-c57e-4fc8-ad22-cec697ad9b22,Tin,231-141-8,
6630,f3405a77-1583-409c-a366-04d0791708cf,Titanium,231-142-3,
6631,2187dbf5-7e27-4310-a37a-5cd98a10c207,Tungsten,231-143-9,
6632,6dddcf57-aa96-4065-9d0e-731bd2c1d42b,Antimony,231-146-5,
6633,39143825-0190-4b7b-9df6-d44cc50e403c,Arsenic,231-148-6,
6634,8f4326e8-23da-4284-9437-a770554d97d7,Barium,231-149-1,
6635,d9f53a09-ec5b-46ad-91b1-12f718d373cd,Beryllium,231-150-7,
6636,225d4103-b24e-4d57-8690-8cfa2bdb3491,Boron,231-151-2,
6637,b68f54ef-20d7-4cf3-9740-4d79f7ab0b0b,Cadmium,231-152-8,
6638,66bdfe54-65fb-478b-a748-84a7dbe385a4,Cerium,231-154-9,
6639,611a0e7c-52fa-49fb-a24a-af2190b5254b,Chromium,231-157-5,
6640,38af9d0f-db77-4524-a3ae-6041291f693c,Cobalt,231-158-0,
6641,a86725a5-6b33-48e0-a9d4-0af4e9bd1ad5,Copper,231-159-6,
6643,d9bf742d-30c7-4795-bd54-052b87b0ff90,Gadolinium,231-162-2,
6644,b5aa3343-0928-43cb-bf92-4130099d346a,Gallium,231-163-8,
6645,e9603da9-7e35-482d-9ad8-ad637db374d2,Germanium,231-164-3,
6646,5a98f3da-c8a9-40d4-aa7e-7fa72dce30bc,Gold,231-165-9,
6647,472cf876-34e3-4443-b505-6200582bc31f,Hafnium,231-166-4,
6648,95f47bb3-48ec-4fe2-a51d-fa130f703597,Vanadium,231-171-1,
6649,51ebafc3-15fc-416e-8021-ad9cf72d6c32,Yttrium,231-174-8,
6650,3127c05a-0e35-4630-b023-953f4bc98d7e,Zinc,231-175-3,
6652,8bfaff4f-ef4c-4a42-b62e-37d8f0c6c363,Zirconium,231-176-9,
6653,084ca09d-95b8-4e36-b44d-d9699af6e319,Bismuth,231-177-4,
6655,92f4a2dd-da6e-4049-98cc-9a4547674363,Calcium,231-179-5,
6656,7718cef8-a442-40d7-a0f9-5f48589240b7,Indium,231-180-0,
6657,2d8bf7e2-7524-4eff-96b0-ad60a2c32cb7,Dimethyl (p-methoxybenzylidene)malonate,231-185-8,
6658,7a79d84c-b9e7-4f8d-8024-a54c19f3c0ec,Tellurium dioxide,231-193-1,
6659,26876aed-0f1d-49ad-b656-eb744f180df2,Selenium dioxide,231-194-7,
6660,e2c1f5ec-12a3-4d2c-b1f2-f92f88269463,Sulphur dioxide,231-195-2,
6661,573db1e3-c20e-4656-98b8-3430bafbe9d3,Sulphur trioxide,231-197-3,
6662,9cf3476e-522a-481a-8dcd-d8043a4bde6d,Lead sulphate,231-198-9,
6663,8b408a7d-8019-4dd7-8eff-a8dcbe1897f2,Dizinc pyrophosphate,231-203-4,
6664,72ce0e98-4784-472a-aa0c-a0886f6bb245,Aluminium chloride,231-208-1,
6665,254e7e1e-1ae8-490a-afe7-c28417c851f2,Sodium acrylate,231-209-7,
6666,0ec8bb6c-4763-4b76-b9a9-b965f1c759be,Copper dichloride,231-210-2,
6667,1f470e14-2c3d-4dbd-bbef-b09e563d2667,Potassium chloride,231-211-8,
6669,e15171e1-b60b-4a98-a083-a6dc17a5aff9,Lithium chloride,231-212-3,
6670,365a4bc6-2233-4437-9cf8-21555becf366,N-methyl-N-(trimethylsilyl)acetamide,231-217-0,
6672,ed836c69-ab82-4727-b689-e5605bc0444c,Phenyl diamidophosphate,231-218-6,
6673,ae4c6043-b842-4692-9e44-35f734ff87e7,Ethyl 2-methylbutyrate,231-225-4,
6674,2dab3abd-b776-4f94-9af3-5175106fe313,"Bis[[S-(R*,R*)]-(β-hydroxy-α-methylphenethyl)methylammonium] sulphate",231-243-2,
6675,320e3810-e924-4d8d-a238-688c6629cf09,Phenethyl valerate,231-246-9,
6676,40aec587-dfdd-4a85-b96e-0d6e5cf6fdae,2-hydroxy-2-methylpropiophenone,231-272-0,
6677,a82072aa-c9d2-42bf-94db-02b0b423baaf,"3,4-diaminobenzenesulphonic acid",231-274-1,
6678,4d0bb7b2-574b-482b-bfab-188fc886fa57,Disodium adipate,231-293-5,
6679,85ee32ca-08a9-4c6b-8df7-84b7c82e7cd1,Magnesium sulphate,231-298-2,
6681,3716fb40-6ed8-4237-871d-00f03b67b1a6,Tin sulphate,231-302-2,
6682,c67edf64-fa04-4526-8d7e-754eeb63899c,Selenium disulphide,231-303-8,
6683,20cee6f2-ea07-456d-8ce0-10c02c77a877,Diisopropyl sebacate,231-306-4,Diisopropyl Sebacate
6684,06b4a7bb-41df-4f99-bddf-e819831c52d5,"Potassium 1,2-bis(2-ethylhexyloxycarbonyl)ethanesulphonate",231-308-5,
6685,a5d48167-8b13-49ba-955b-35a2ccfaa24e,Sodium α-hydroxybenzylphosphinate,231-313-2,
6686,bcc562d1-4242-4fdd-ba86-8edbcf8d5b56,"1,1-diethoxy-3,7-dimethylocta-2,6-diene",231-323-7,
6687,bda20557-1d42-4f02-9f3b-f72e28e97fb0,"[(3,7-dimethyl-6-octenyl)oxy]acetaldehyde",231-324-2,
6688,8db2dc49-2112-41fa-9587-e5905352b0b7,Butyl O-butyryllactate,231-326-3,
6689,e110da3f-8846-4add-8e9f-b0c2be58b898,[2-(1-propoxyethoxy)ethyl]benzene,231-327-9,
6690,a8496f63-c384-4c0a-a927-908a145ca783,Allyl phenoxyacetate,231-335-2,
6691,31f3527e-222d-4ef4-ad69-c110d566ce5d,N-acetyl-β-D-glucosamine,231-368-2,Glucosamine
6692,eb094ac1-1274-4c8f-849b-d1de754c7d14,Diphenyl methylphosphonate,231-388-1,
6693,1d53ad78-7736-4ecc-9f99-6c593e1bc4b5,"4-methylmorpholine 4-oxide, monohydrate",231-391-8,Morpholine
6695,3260ead6-837d-44d2-9602-c2180e369370,(S)-pyrrolidine-2-carboxamide,231-397-0,
6696,61c65e1e-aa64-48a8-8c40-50d0d168cb2f,"Exo-1,7,7-trimethylbicyclo[2.2.1]hept-2-yl methacrylate",231-403-1,
6697,6306f37c-29c4-4792-9cb8-b3539c4e0cc9,Calcium 4-[(4-chloro-3-sulphonatophenyl)azo]-3-hydroxy-2-naphthoate,231-411-5,
6698,8e27475f-ab66-4b91-acd6-5e3283c9dd38,"3-allyl(dihydro)furan-2,5-dione",231-412-0,
6699,5630564f-f2c5-4838-af23-68f636c0166d,"(-)-3,7-dimethyloct-6-en-1-ol",231-415-7,
6700,b2ae1717-e1f1-4405-a46f-34a0dc412cca,Lithium bromide,231-439-8,
6701,210119da-c61a-4ae9-8827-c290ffe7b35b,Titanium tetrachloride,231-441-9,
6705,9fc0ea78-8834-461f-84d8-ef1bcaeb4724,Iodine,231-442-4,
6706,c8ba19cf-9fbe-4bea-a751-a1ab2706d487,4-methylpyrazole,231-445-0,
6707,5fb477e6-1f4d-48ba-9152-9920568266f3,Disodium hydrogenorthophosphate,231-448-7,
6708,bcaca7f5-38e9-414c-ad0d-2cc11124345e,Sodium dihydrogenorthophosphate,231-449-2,
6709,f0d75e50-3daf-4047-873c-5f53f352edaa,N-cyclohexyl-N-methylcyclohexylamine,231-453-4,
6710,3bfd12cd-6097-4906-b69e-1db2c293cb67,Pentaerythritol tetrakis(3-mercaptopropionate),231-472-8,
6711,8ba560f3-51f9-43f2-b7cd-6c2bf31f2ce6,Lithium hydride,231-484-3,
6712,a3867d98-6d1e-477b-9bf8-891ed9344b5e,Zirconium acetate,231-492-7,
6713,4f4a1d67-13e9-476d-b28c-1412086d5a10,Cycloheptapentylose,231-493-2,
6714,05e4f62f-f8a0-44f1-b9e9-8b38faaf926a,Barium 4-[(5-chloro-4-methyl-2-sulphonatophenyl)azo]-3-hydroxy-2-naphthoate,231-494-8,
6715,9be2a084-e6ba-4bd4-8ed1-a775e3fd784a,"6-amino-5-formamido-1,3-dimethyluracil",231-501-4,
